ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr3:49714041-49714133|+|49713948|49713652	ENSG00000164062.13_4	APEH	chr3	+	49713488	49713948	49713488	49713652	49714041	49714133	chr3:49714041-49714133|+|49713948|49713652	1377,2007,1829	14,7,18	1261,1663,1431	52,97,66	200	100	0	0.0	0.98,0.993,0.981	0.924,0.896,0.916	0.073
chr7:154738069-154738203|+|154736330|154736108	ENSG00000214106.9_6	PAXIP1-AS2	chr7	+	154735736	154736330	154735736	154736108	154738069	154738203	chr7:154738069-154738203|+|154736330|154736108	70,78,86	0,0,0	93,110,91	9,3,1	200	100	5.81925456672e-05	0.00376680224378	1.0,1.0,1.0	0.838,0.948,0.978	0.079
chr8:1719097-1719763|+|1712091|1712051	ENSG00000182372.9_4	CLN8	chr8	+	1711965	1712091	1711965	1712051	1719097	1719763	chr8:1719097-1719763|+|1712091|1712051	12,6,4	70,46,90	0,0,1	54,78,58	140	100	1.73180573659e-06	0.000213458495473	0.109,0.085,0.031	0.0,0.0,0.012	0.071
chr2:85828143-85828230|-|85828428|85828557	ENSG00000168890.14_5	TMEM150A	chr2	-	85828428	85828605	85828557	85828605	85828143	85828230	chr2:85828143-85828230|-|85828428|85828557	40,49,48	85,122,137	19,35,36	107,207,118	200	100	0.00017458617857	0.00878064649422	0.19,0.167,0.149	0.082,0.078,0.132	0.071
chr6:131188598-131188721|-|131190702|131190951	ENSG00000079819.19_6	EPB41L2	chr6	-	131190702	131191266	131190951	131191266	131188598	131188721	chr6:131188598-131188721|-|131190702|131190951	1832,1256,1632	26,10,27	1069,1126,1089	67,30,41	200	100	7.81252840198e-12	4.05425834697e-09	0.972,0.984,0.968	0.889,0.949,0.93	0.052
chr9:95874499-95874571|+|95870109|95870098	ENSG00000165233.18_3	CARD19	chr9	+	95869955	95870109	95869955	95870098	95874499	95874571	chr9:95874499-95874571|+|95870109|95870098	28,30,54	0,0,0	27,44,48	3,8,5	111	100	6.51735792778e-07	9.37411604686e-05	1.0,1.0,1.0	0.89,0.832,0.896	0.127
chr9:116082636-116082778|-|116083751|116083790	ENSG00000148225.16_4	WDR31	chr9	-	116083751	116083858	116083790	116083858	116082636	116082778	chr9:116082636-116082778|-|116083751|116083790	0,4,10	20,22,31	0,0,1	21,30,20	139	100	3.10934794703e-05	0.00229950757404	0.0,0.116,0.188	0.0,0.0,0.035	0.09
chr7:94228086-94228275|-|94229008|94229957	ENSG00000127990.18_6	SGCE	chr7	-	94229008	94230169	94229957	94230169	94228086	94228275	chr7:94228086-94228275|-|94229008|94229957	682,936,649	14,13,27	564,668,705	44,78,45	200	100	3.8413716652e-14	3.05085077973e-11	0.961,0.973,0.923	0.865,0.811,0.887	0.098
chr1:61005920-61006105|-|61007961|61007968	ENSG00000226476.4_5	LINC01748	chr1	-	61007961	61008083	61007968	61008083	61005920	61006105	chr1:61005920-61006105|-|61007961|61007968	1,10,5	10,28,12	0,1,2	22,19,15	107	100	0.00011172312173	0.00630267957291	0.085,0.25,0.28	0.0,0.047,0.111	0.152
chr17:17720569-17720771|-|17720861|17721009	ENSG00000072310.17_4	SREBF1	chr17	-	17720861	17721230	17721009	17721230	17720569	17720771	chr17:17720569-17720771|-|17720861|17721009	200,547,363	343,965,791	38,80,45	128,374,174	200	100	4.03378219715e-10	1.44479005174e-07	0.226,0.221,0.187	0.129,0.097,0.115	0.098
chr1:45270937-45271051|+|45270451|45270173	ENSG00000173846.13_3	PLK3	chr1	+	45270010	45270451	45270010	45270173	45270937	45271051	chr1:45270937-45271051|+|45270451|45270173	95,95,86	25,18,24	46,37,37	31,19,19	200	100	8.61514481493e-05	0.00515970909198	0.655,0.725,0.642	0.426,0.493,0.493	0.203
