ID	r.squared	coefficient	intercept
chr5:150490187-150490205|-|150489407|150496687	0.525234657432936	1.41784565214709	-0.798999587445754
chr17:79084713-79084755|+|79082309|79089569	0.584776821255496	-1.74657691335557	0.452250174726714
chr17:79084713-79084759|+|79082309|79089569	0.60938876878728	-1.30603263774228	0.570637751543573
chr2:234377068-234377199|+|234375849|234378016	0.584003877178671	3.49590945002726	-3.15689709775214
chr7:91671359-91671500|+|91670212|91671981	0.612874458407026	0.985184121651399	-0.385235576026575
chr7:889156-889240|+|883157|891020	0.425619158807897	-1.05879670577851	0.836271992062056
chrX:138813809-138813914|-|138811121|138820074	0.407215195822711	-0.924619540217981	0.731905796559023
chr22:18309219-18309282|-|18305826|18314619	0.408742177951467	0.851659268042594	-0.114160607109871
chr6:41048549-41048636|+|41046903|41051784	0.535110570858422	1.09350975207922	-0.233645785575526
chr7:540067-540136|-|538211|540752	0.58550214444836	-1.32936590077037	0.400214892988475
chr5:131046270-131046354|-|131044965|131052257	0.495207342068059	-0.865954507630279	0.578353450675228
chr6:17771344-17771449|-|17765177|17772138	0.651140512440144	-1.14865586381005	0.640869434942647
chr2:74666677-74667104|-|74659793|74668832	0.466333212093475	0.689395392037583	-0.17524434615231
chr6:30852314-30852487|+|30850760|30856464	0.60199516840696	1.00315410773646	-0.448235681501867
chr6:30853401-30853457|+|30850760|30856464	0.477763676680328	1.13529026508196	-0.660201325897297
chr8:145744132-145744199|+|145743425|145744998	0.456754820875966	-1.17319563711237	0.396040627494366
chr2:47185633-47185691|+|47184146|47202111	0.436674080942223	1.90831917593212	-0.166992137708136
chr14:103964838-103964865|+|103958371|103969218	0.414587008661889	1.04052453129235	-0.134744932121835
chr12:56558086-56558152|-|56557549|56558431	0.407674851103606	-1.06706282966135	0.89060898883036
chr1:178861364-178861442|+|178858831|178863053	0.624122668020984	-1.10859921802659	0.602200513186407
chr1:225692692-225692755|-|225688772|225695652	0.694216747772199	-1.153573092586	0.463631334755636
chr1:17961042-17961057|+|17958961|17961329	0.418509588635726	-0.845225088989435	0.60559985421853
chr9:131010202-131010214|+|131009765|131010861	0.550165044466901	1.12350460099199	-0.687960263246431
chr15:72244042-72244237|-|72231268|72252241	0.591963102224546	1.26731575976606	-0.753517239003688
chr15:72244117-72244237|-|72231268|72252241	0.576661665242579	1.44982298620202	-1.00255864694326
chr7:158545471-158545534|-|158542414|158552176	0.685598724279679	-1.10250997600064	0.552252387522981
chrX:30745582-30745669|+|30742298|30746848	0.427735462553678	1.07888561106564	-0.58060890557912
