ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
504	304,321,301	0,1,0	451,449,409	0,0,0	105	100
505	20,18,38	8,3,0	44,62,31	1,0,9	200	100
506	36,19,31	17,23,15	43,65,30	16,9,3	200	100
507	1,0,0	61,58,59	0,6,0	57,79,51	200	100
509	41,63,48	7310,9364,7903	67,73,62	7870,8012,9357	200	100
510	36,16,43	710,643,1089	52,37,32	815,671,600	171	100
511	1055,1200,1158	7,20,13	872,822,749	10,9,9	200	100
512	56,34,71	6,2,7	44,55,28	2,5,2	200	100
513	1791,1121,1896	40,25,41	463,748,769	14,23,16	200	100
514	108,52,97	54,15,57	96,80,59	77,48,27	200	100
516	460,239,537	2,4,0	257,247,228	2,2,4	200	100
517	13,10,14	0,3,2	30,15,11	0,1,2	200	100
518	188,169,211	2172,2718,2370	221,263,183	1142,910,1353	190	100
519	314,244,254	5124,6917,5849	231,336,289	2906,2323,3656	180	100
520	309,204,272	5307,5768,5712	317,337,233	3078,2576,3373	173	100
521	280,280,286	6105,6566,6751	340,417,274	3142,2844,3504	200	100
523	1,0,0	1,4,5	0,0,0	2,2,3	200	100
524	4,0,4	17,5,11	3,3,1	18,10,14	177	100
525	24,19,23	0,2,0	19,20,7	5,4,1	174	100
527	11,9,2	311,175,348	9,5,5	190,151,155	193	100
528	32,25,28	270,140,269	22,27,20	201,200,201	200	100
529	2,1,0	0,0,0	3,3,3	2,4,1	200	100
530	2,1,0	0,1,0	1,2,3	2,1,0	200	100
533	50,51,67	7,3,12	116,133,52	1,8,5	200	100
534	0,7,1	0,0,0	7,14,16	0,1,1	200	100
535	1,4,1	0,0,0	7,3,5	0,2,0	194	100
537	54,42,58	0,2,2	72,56,28	0,2,2	200	100
539	66,58,59	0,1,1	19,24,40	0,0,0	200	100
542	30,14,26	1677,1041,1327	13,23,8	1462,1087,1022	200	100
543	104,57,105	593,532,787	71,45,67	185,251,305	180	100
544	333,148,308	623,745,836	218,150,198	255,318,452	200	100
546	74,85,74	29,45,35	70,117,64	17,42,55	200	100
547	25,4,9	238,51,52	0,0,3	5,2,16	200	100
548	6,2,8	2,7,0	0,0,1	0,0,0	200	100
549	6,1,3	5,5,8	0,0,1	0,0,0	200	100
550	457,436,413	97,199,103	515,509,564	65,92,111	200	100
551	17,11,6	6,10,7	12,18,21	8,10,12	200	100
553	480,539,495	246,430,308	556,696,736	175,202,250	197	100
554	180,191,169	27,23,19	144,110,81	13,21,10	200	100
557	35,41,20	135,181,166	34,40,26	156,208,162	200	100
558	1577,964,1438	46,42,53	1213,1137,973	18,56,17	194	100
559	396,382,393	266,352,289	163,190,215	156,152,163	200	100
560	0,0,0	56,62,70	1,1,2	38,34,41	200	100
561	1,0,0	47,66,42	0,1,2	32,26,27	200	100
562	4,3,1	1,1,3	1,1,4	2,2,0	102	100
563	11,7,2	1518,1035,1520	7,5,2	1397,1421,1141	200	100
564	4,10,3	160,206,234	8,9,5	279,323,275	200	100
565	1333,1339,1598	1,0,0	2625,5097,2412	0,1,2	200	100
567	1,0,0	0,0,0	14,20,16	2,0,0	200	100
568	1,0,0	0,0,0	7,8,2	4,9,9	200	100
569	141,217,129	68,135,98	175,272,141	142,225,138	200	100
570	9,10,13	131,242,197	10,14,7	287,393,269	200	100
571	14,15,26	0,1,0	35,36,65	3,1,1	200	100
573	255,168,300	915,801,1111	347,349,287	1066,1072,910	176	100
574	50,50,48	997,935,1049	50,42,56	854,868,1009	200	100
575	163,149,151	717,761,643	186,182,203	888,671,889	200	100
578	1132,1280,992	14,27,8	828,640,952	14,3,10	200	100
579	99,42,116	6,18,7	60,88,47	6,7,1	200	100
580	15,12,11	22,16,19	18,15,14	21,26,37	200	100
581	232,187,187	14,1,9	185,108,158	5,4,5	200	100
582	236,176,188	17,3,2	183,114,156	5,2,0	200	100
583	7,3,3	57,20,52	2,4,2	107,76,37	200	100
