ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277844	17278378	17278292	17278378	17277167	17277388
16	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1497006	1497087	1497006	1497084	1497392	1497569
36	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144900031	144900245	144900031	144900143	144900362	144900455
37	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144906482	144906569	144906482	144906566	144906967	144907310
38	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144906482	144906569	144906482	144906566	144909198	144909337
39	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144906482	144906569	144906482	144906566	144909554	144909706
40	"ENSG00000105698.16_4"	"USF2"	chr19	+	35760348	35760602	35760483	35760602	35760010	35760066
41	"ENSG00000105698.16_4"	"USF2"	chr19	+	35761620	35761708	35761661	35761708	35760483	35760602
42	"ENSG00000105698.16_4"	"USF2"	chr19	+	35769600	35769977	35769848	35769977	35761985	35762044
52	"ENSG00000122218.16_4"	"COPA"	chr1	-	160302237	160302347	160302237	160302336	160309698	160309772
53	"ENSG00000122218.16_4"	"COPA"	chr1	-	160302237	160303469	160302237	160302336	160309698	160309772
54	"ENSG00000122218.16_4"	"COPA"	chr1	-	160302237	160303469	160302237	160302347	160309698	160309772
56	"ENSG00000188833.9_3"	"ENTPD8"	chr9	-	140330972	140331761	140330972	140331203	140332418	140332536
68	"ENSG00000235194.8_5"	"PPP1R3E"	chr14	-	23768609	23768750	23768609	23768747	23769966	23770073
70	"ENSG00000235194.8_5"	"PPP1R3E"	chr14	-	23768609	23768750	23768609	23768747	23770506	23771067
85	"ENSG00000148334.15_4"	"PTGES2"	chr9	-	130884640	130885413	130884640	130884758	130885980	130886130
87	"ENSG00000148334.15_4"	"PTGES2"	chr9	-	130887522	130887720	130887522	130887562	130889717	130890008
89	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130165938	130166082	130166016	130166082	130159509	130159565
90	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130165938	130166082	130166016	130166082	130162185	130162285
94	"ENSG00000173611.17_5"	"SCAI"	chr9	-	127733949	127734123	127733949	127734041	127736453	127736555
